Image,Format,PSNR,SSIM,Original Size (KB),Compressed Size (KB),Compression Time (s),Decompression Time (s)
01000.png,AI,11.595741364120553,0.21916530081380384,1432.6640625,81.6796875,2.2514140605926514,12.20447039604187
01001.png,AI,9.37784247531422,0.19493712482274658,1404.01171875,73.9921875,1.0969324111938477,0.21329689025878906
01002.png,AI,9.830444155004757,0.1988003448377558,1284.658203125,71.7734375,1.093513011932373,0.19075798988342285
01003.png,AI,12.546451878045929,0.264514862711841,1250.994140625,63.18359375,1.2566263675689697,0.41928529739379883
01004.png,AI,9.558946731380637,0.19758454313681373,1303.1396484375,71.7890625,1.4462149143218994,0.40926671028137207
01005.png,AI,11.61621572119335,0.26837380552764317,1534.8935546875,72.8984375,1.2984161376953125,0.3989574909210205
01006.png,AI,10.300930298188291,0.2270709408637891,1329.923828125,71.81640625,1.2181041240692139,0.37014222145080566
01007.png,AI,12.930501306674723,0.23393610112384597,1460.494140625,77.04296875,1.165452241897583,0.45259785652160645
01008.png,AI,12.00409037883944,0.23364913516438734,1389.1396484375,80.5625,0.9956474304199219,0.23903179168701172
01009.png,AI,8.85250364612219,0.16471898298103596,898.0,61.96875,1.0547552108764648,0.33807826042175293
01010.png,AI,12.065655854120934,0.2889626327899287,1147.05078125,61.96875,0.9538679122924805,0.33608579635620117
01011.png,AI,12.359461512632016,0.24273078612659046,1319.8662109375,69.96484375,0.9524660110473633,0.24846315383911133
01012.png,AI,9.616453523795755,0.2427783963900274,1425.58984375,66.859375,1.0414879322052002,0.25361084938049316
01013.png,AI,11.804675254671942,0.275044276614177,1342.7529296875,63.76953125,1.0097479820251465,0.2855348587036133
01014.png,AI,12.055539011196828,0.26218555358961154,826.5419921875,64.54296875,0.9026589393615723,0.264392614364624
01015.png,AI,12.244212719166399,0.2502480422158335,1508.033203125,73.8046875,0.9406349658966064,0.27550530433654785
01016.png,AI,12.217262117593378,0.2410442874497464,1274.0234375,73.125,1.154116153717041,0.5698041915893555
01017.png,AI,11.63155739630843,0.23465411255667257,1248.4296875,69.59375,1.223522663116455,0.8398001194000244
01018.png,AI,11.764787969224246,0.2654080395862619,1299.6142578125,73.44140625,0.9899308681488037,0.6627724170684814
01019.png,AI,10.972500043041373,0.22944670998339922,1431.626953125,69.953125,1.1156361103057861,1.116931676864624
01020.png,AI,11.514589792497112,0.2747039580369319,1022.392578125,72.23828125,1.2566792964935303,0.33739614486694336
01021.png,AI,12.980951108833846,0.19089141425103562,1629.4501953125,79.46484375,1.2750225067138672,0.42914509773254395
01022.png,AI,10.722144221530884,0.22632449855087908,1490.380859375,68.55078125,1.2177565097808838,0.3527510166168213
01023.png,AI,11.7330538989825,0.23470563271156406,1291.208984375,71.15234375,1.0827655792236328,0.3284881114959717
01024.png,AI,12.628431074087851,0.2802451111929283,1408.7490234375,74.6796875,0.9446053504943848,0.25173282623291016
01025.png,AI,18.55754392496952,0.27232578533169643,1009.8994140625,47.08203125,1.0175607204437256,0.24208354949951172
01026.png,AI,12.486315996353978,0.29523757577824,1189.5771484375,67.84765625,1.0399138927459717,0.23960518836975098
01027.png,AI,12.998748197419253,0.2778829076476036,1215.6435546875,73.3515625,1.0546777248382568,0.2909860610961914
01028.png,AI,12.614560502036545,0.27822916979673296,1208.99609375,73.96484375,0.886249303817749,0.24201750755310059
01029.png,AI,11.098996233616862,0.226677962579125,1380.74609375,70.765625,1.0487060546875,0.2957143783569336
01030.png,AI,13.167082743825386,0.21747751196785747,1536.91796875,75.51953125,0.998776912689209,0.26468825340270996
